id,category,check,severity,description
A01-1,Broken Access Control,Missing authorization check,Critical,"Function/endpoint accessible without role check"
A01-2,Broken Access Control,Privilege escalation,Critical,"User can access resources belonging to other users"
A01-3,Broken Access Control,Insecure direct object reference,High,"ID exposed in URL/body without ownership check"
A02-1,Cryptographic Failures,Hardcoded secret,Critical,"API key password or token in source code"
A02-2,Cryptographic Failures,Weak hashing algorithm,High,"MD5 or SHA1 used for passwords"
A02-3,Cryptographic Failures,Sensitive data over HTTP,High,"PII or auth tokens sent without TLS"
A03-1,Injection,SQL injection,Critical,"User input concatenated into SQL query"
A03-2,Injection,XSS vulnerability,High,"User input rendered without sanitization"
A03-3,Injection,Command injection,Critical,"User input passed to shell/exec function"
A03-4,Injection,Path traversal,High,"User-controlled file path without normalization"
A05-1,Security Misconfiguration,Debug mode in production,High,"Debug endpoints or verbose errors exposed"
A05-2,Security Misconfiguration,CORS wildcard,Medium,"Access-Control-Allow-Origin: * on sensitive endpoint"
A07-1,Auth Failures,No rate limiting on auth,High,"Login/register endpoint without rate limiting"
A07-2,Auth Failures,Weak session management,High,"Session token predictable or not rotated on login"
A07-3,Auth Failures,JWT not validated,Critical,"JWT signature not verified or expiry not checked"
A09-1,Logging Failures,Sensitive data in logs,Medium,"Password API key or PII logged to console"
A09-2,Logging Failures,Stack trace to user,Medium,"Full error stack trace returned in API response"
A10-1,SSRF,User-controlled URL fetch,High,"User input used in HTTP request without allowlist"
